bio_replica	sample	fq1	fq2	read_count	base_count	fq1_bytes	fq2_bytes	fq1_md5	fq2_md5	frac	read_count_frac	analyse
8V1	SRR5558235	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558235/SRR5558235_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558235/SRR5558235_2.fastq.gz	2888892	868913209	230.40813159942627	245.3619089126587	8f1959ab3a6054d69ae2983bdbf1f77b	55749febf74db0b9fe7563f1e69afb73	1	2888892	TRUE
8V1	SRR5558236	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558236/SRR5558236_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558236/SRR5558236_2.fastq.gz	2558335	769296364	255.52860069274902	258.4619789123535	a8fdceb54e0c2c03d279b67097b87ef6	0c053fa045d4701b6158f6016deddbb1	1	2558335	TRUE
8V1	SRR5558237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558237/SRR5558237_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558237/SRR5558237_2.fastq.gz	2914299	876785465	231.00816917419434	245.19830799102783	a1eb6796a11aaaec5531694c7e7f780b	1145a90e4810e9b4ef27fc81c4cb6dc1	1	2914299	FALSE
8V1	SRR5558238	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558238/SRR5558238_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558238/SRR5558238_2.fastq.gz	2591411	779430138	259.218523979187	262.058012008667	c8f394ac91b87f7d05ebaa568e7f48c6	dccf17706e1a96a54885c53cae2bdb54	1	2591411	FALSE
50V1	SRR5558239	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558239/SRR5558239_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558239/SRR5558239_2.fastq.gz	3387308	1018903832	280.0925817489624	293.50518703460693	3f9321b2f109b8682341f718a8f4100c	24ffa1eb76fd4e5123e563c931384b5e	1	3387308	TRUE
50V1	SRR5558240	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558240/SRR5558240_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558240/SRR5558240_2.fastq.gz	3384366	1018058371	277.7913284301758	296.28693771362305	ab4ab5f98dbde75ee82e2ab8d7b77386	d3448fbf3b18b0fef04751ce3d8df424	1	3384366	TRUE
50V1	SRR5558241	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558241/SRR5558241_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558241/SRR5558241_2.fastq.gz	3430291	1032012401	284.31019496917725	297.8088912963867	97d8c402112950d1e275cadee2b8a62a	3da09f8d06be14862940d8dd72ffb80a	1	3430291	TRUE
50V1	SRR5558242	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558242/SRR5558242_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558242/SRR5558242_2.fastq.gz	3397966	1022332168	280.09234714508057	296.5000810623169	80928b7193c477f19f6dc7f19d903852	08afa74de47ef44efac22a12e085f74b	1	3397966	TRUE
50V3	SRR5558243	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558243/SRR5558243_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558243/SRR5558243_2.fastq.gz	8512140	2570666280	855.8708066940308	857.0904884338379	92ac703875af7dce490633467fddd90d	b0c6288f6f6d9f2eebfb3736845e1811	0.36	3064371	TRUE
50V3	SRR5558244	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558244/SRR5558244_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558244/SRR5558244_2.fastq.gz	3151066	947699575	258.4772539138794	270.9414701461792	ebbcf616c75665c8c9c1e9f6637b21f0	dd7a1c8624525b376edbd11996fc01ea	1	3151066	TRUE
50V3	SRR5558245	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558245/SRR5558245_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558245/SRR5558245_2.fastq.gz	3152565	948207883	256.82416820526123	273.9601001739502	8e92413679ce43a0b968f638fc0e951c	0d45a787d35efe711d78fe637c6bb259	1	3152565	TRUE
50V3	SRR5558246	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558246/SRR5558246_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558246/SRR5558246_2.fastq.gz	3194365	960910471	262.7156457901001	275.21218967437744	ddcd9236b8c7112bde42abbfda9b2310	83086222dd2a60cf5371b99808039617	1	3194365	TRUE
50V3	SRR5558247	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558247/SRR5558247_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558247/SRR5558247_2.fastq.gz	3164209	951897133	258.92670249938965	274.0859537124634	1d2f84fe966353eac766a2ef32d07930	c50ea25e7c95dfc90d371096d81abc56	1	3164209	TRUE
50V5	SRR5558248	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558248/SRR5558248_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558248/SRR5558248_2.fastq.gz	6770091	2044567482	693.1615591049194	696.7821092605591	33776fc2463fffff514b9653ebd12e81	12e535d5e323f899945eaf8ab3a0c527	0.45	3046541	TRUE
51V3	SRR5558249	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558249/SRR5558249_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558249/SRR5558249_2.fastq.gz	8299796	2506538392	837.5098190307617	839.2266960144043	b07b7d19a67c001b5d4386e3b1c8f528	e2524c43e04dc14e40f1934f18c3e0b7	0.37	3070925	TRUE
51V1	SRR5558250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558250/SRR5558250_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558250/SRR5558250_2.fastq.gz	3500982	1052690696	287.11060523986816	304.548490524292	8901a6d162945bfa291056ae931ea79e	f3646ce3d7664146063db64b69c3d11e	1	3500982	TRUE
51V1	SRR5558251	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558251/SRR5558251_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558251/SRR5558251_2.fastq.gz	3492328	1049845117	287.02295207977295	301.6108818054199	971dabbcdc9d18d75311574d48b19940	a2938db946d30881086857da07e847a2	1	3492328	TRUE
51V1	SRR5558252	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558252/SRR5558252_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558252/SRR5558252_2.fastq.gz	9973654	3012043508	1015.1706171035767	1014.2442331314087	705ded46e3a5ca7365d99dc3bf897358	6a7cae2d5981dab88ef21b4e4c885968	0.31	3091833	TRUE
51V1	SRR5558253	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558253/SRR5558253_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558253/SRR5558253_2.fastq.gz	3534505	1062717167	291.16105937957764	305.8222360610962	a23fdd6ad0db69410bff382cc7977aa8	f06c8eb0f88d99a4792dc1908855661f	1	3534505	TRUE
51V1	SRR5558254	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558254/SRR5558254_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558254/SRR5558254_2.fastq.gz	3488405	1048722545	284.85922050476074	304.34722900390625	c606d0d0905dc7c3d820bb48b970b78c	717989ed754f08f9438e7d48d2835993	1	3488405	TRUE
50V5	SRR5558255	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558255/SRR5558255_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558255/SRR5558255_2.fastq.gz	2651086	797346940	219.1581048965454	236.90966796875	7dc5ed86373c8b421e9f0f4841052799	30b8e6ef5b29017e3e24c37854fafaf9	1	2651086	TRUE
50V5	SRR5558256	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558256/SRR5558256_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558256/SRR5558256_2.fastq.gz	2655038	798485464	220.7126226425171	234.78236389160156	b58d57e030c65a9237cf1315ab1bedd9	ebef274ddee439c41c2a8864520342fd	1	2655038	TRUE
50V5	SRR5558257	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558257/SRR5558257_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558257/SRR5558257_2.fastq.gz	2657621	799447873	220.47246742248535	236.7174654006958	62a32f5c53b384fd51835aa1f2218084	d308cd6ad4b503dafd6d1f335358a865	1	2657621	TRUE
50V5	SRR5558258	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558258/SRR5558258_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558258/SRR5558258_2.fastq.gz	2689552	809015676	224.02102756500244	238.13442993164062	30c9cb83be82083092ec5940dcf8df90	8c637f012ce85dbd3f17bd324de52887	1	2689552	TRUE
52V3	SRR5558259	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558259/SRR5558259_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558259/SRR5558259_2.fastq.gz	2944348	885709920	242.5364065170288	256.3296308517456	929937e84540fe82f56468a9023e7825	c4f1c3cd9345b503d65d8ddf0b6acd47	1	2944348	TRUE
